"id_aforo","fecha_ingreso","fecha_salida"
18854,2020-09-06 09:28:53,
18855,2020-09-06 09:29:03,
18856,2020-09-06 09:29:03,
18857,2020-09-06 09:29:07,
18858,2020-09-06 09:29:08,
18859,2020-09-06 09:29:09,
18860,2020-09-06 09:29:10,
18861,,2020-09-06 09:29:27
18862,,2020-09-06 09:29:27
18863,2020-09-06 09:29:36,
18864,2020-09-06 09:29:51,
18865,,2020-09-06 09:30:20
18866,2020-09-06 09:30:20,
18867,2020-09-06 09:31:08,
18868,2020-09-06 09:32:12,
18869,2020-09-06 09:32:14,
18870,2020-09-06 09:32:14,
18871,2020-09-06 09:32:15,
18872,2020-09-06 09:32:16,
18873,,2020-09-06 09:33:14
18874,2020-09-06 09:33:15,
18875,2020-09-06 09:33:16,
18876,2020-09-06 09:33:17,
18877,2020-09-06 09:33:51,
18878,2020-09-06 09:33:52,
18879,2020-09-06 09:33:55,
18880,,2020-09-06 09:34:04
18881,2020-09-06 09:34:23,
18882,,2020-09-06 09:34:31
18883,,2020-09-06 09:34:32
18884,2020-09-06 09:34:34,
18885,2020-09-06 09:34:53,
18886,2020-09-06 09:34:55,
18887,,2020-09-06 09:35:09
18888,2020-09-06 09:35:54,
18889,2020-09-06 09:35:55,
18890,2020-09-06 09:36:00,
18891,2020-09-06 09:36:02,
18892,2020-09-06 09:36:45,
18893,2020-09-06 09:37:17,
18894,2020-09-06 09:37:23,
18895,2020-09-06 09:37:27,
20631,,2020-09-06 12:59:03
20632,2020-09-06 12:59:10,
20634,2020-09-06 12:59:13,
20635,,2020-09-06 12:59:13
20636,2020-09-06 12:59:13,
20637,2020-09-06 12:59:13,
20638,,2020-09-06 12:59:14
20639,2020-09-06 12:59:14,
20640,2020-09-06 12:59:37,
20642,2020-09-06 12:59:38,
20644,2020-09-06 12:59:38,
20645,,2020-09-06 12:59:39
20646,2020-09-06 12:59:57,
20647,2020-09-06 13:00:05,
20648,2020-09-06 13:00:14,
20649,2020-09-06 13:00:23,
20651,,2020-09-06 13:00:24
20653,2020-09-06 13:00:28,
20654,2020-09-06 13:00:30,
20655,2020-09-06 13:00:36,
20656,,2020-09-06 13:00:37
20657,2020-09-06 13:00:43,
20658,,2020-09-06 13:00:43
20659,,2020-09-06 13:00:48
20661,,2020-09-06 13:01:11
20663,,2020-09-06 13:01:12
20664,,2020-09-06 13:01:20
20665,2020-09-06 13:01:30,
20666,2020-09-06 13:01:30,
20667,2020-09-06 13:01:31,
20668,2020-09-06 13:01:43,
20669,2020-09-06 13:01:43,
20671,,2020-09-06 13:01:50
20673,2020-09-06 13:02:13,
20674,2020-09-06 13:02:13,
20675,2020-09-06 13:02:14,
20676,,2020-09-06 13:02:31
20677,,2020-09-06 13:02:54
20678,,2020-09-06 13:02:54
20680,,2020-09-06 13:02:58
20682,2020-09-06 13:03:11,
20683,2020-09-06 13:03:12,
20684,2020-09-06 13:03:13,
20685,,2020-09-06 13:03:40
20686,,2020-09-06 13:03:56
20687,2020-09-06 13:03:58,
20688,2020-09-06 13:04:01,
20690,,2020-09-06 13:04:11
20692,,2020-09-06 13:04:12
20693,,2020-09-06 13:04:14
20694,,2020-09-06 13:04:16
20695,,2020-09-06 13:04:19
20696,,2020-09-06 13:04:25
22434,2020-09-06 15:59:34,
22435,2020-09-06 15:59:35,
22437,,2020-09-06 15:59:39
22438,2020-09-06 16:00:10,
22439,2020-09-06 16:00:10,
22440,2020-09-06 16:00:11,
22441,2020-09-06 16:00:12,
22443,2020-09-06 16:00:13,
22444,2020-09-06 16:00:13,
22445,2020-09-06 16:00:14,
22447,,2020-09-06 16:00:33
22448,,2020-09-06 16:00:34
22449,,2020-09-06 16:00:42
22450,,2020-09-06 16:00:57
22452,2020-09-06 16:01:14,
22453,2020-09-06 16:01:14,
22454,,2020-09-06 16:01:16
23874,,2020-09-06 18:02:04
23875,,2020-09-06 18:02:04
25129,2020-09-06 20:17:33,
25130,,2020-09-06 20:18:54
25131,2020-09-06 20:18:54,
25132,,2020-09-06 20:19:09
25133,,2020-09-06 20:19:10
25134,,2020-09-06 20:19:44
25135,,2020-09-06 20:19:49
25137,2020-09-06 20:20:02,
25138,,2020-09-06 20:20:13
25139,,2020-09-06 20:20:13
25140,,2020-09-06 20:20:13
25141,,2020-09-06 20:20:14
25142,,2020-09-06 20:20:14
25143,,2020-09-06 20:20:14
25144,2020-09-06 20:20:41,
25146,,2020-09-06 20:22:16
25148,,2020-09-06 20:22:59
25149,2020-09-06 20:23:49,
25150,,2020-09-06 20:24:32
25151,,2020-09-06 20:24:34
25152,,2020-09-06 20:24:35
25153,,2020-09-06 20:24:35
25155,,2020-09-06 20:25:11
25157,,2020-09-06 20:25:59
25158,2020-09-06 20:27:03,
25159,2020-09-06 20:27:19,
18896,2020-09-06 09:37:49,
20633,2020-09-06 12:59:13,
20641,2020-09-06 12:59:37,
20643,2020-09-06 12:59:38,
20650,,2020-09-06 13:00:24
20652,,2020-09-06 13:00:25
20660,,2020-09-06 13:00:48
20662,,2020-09-06 13:01:11
20670,2020-09-06 13:01:43,
20672,,2020-09-06 13:01:50
20679,,2020-09-06 13:02:57
20681,2020-09-06 13:03:11,
20689,,2020-09-06 13:04:11
20691,,2020-09-06 13:04:11
22467,,2020-09-06 16:02:57
22468,,2020-09-06 16:02:58
22469,,2020-09-06 16:02:58
22470,,2020-09-06 16:03:03
22471,,2020-09-06 16:03:03
22472,,2020-09-06 16:03:06
22473,,2020-09-06 16:03:06
22474,,2020-09-06 16:03:07
23876,,2020-09-06 18:02:31
23877,,2020-09-06 18:02:31
23878,,2020-09-06 18:02:32
23879,,2020-09-06 18:02:40
23880,,2020-09-06 18:02:41
25163,,2020-09-06 20:29:27
25164,,2020-09-06 20:29:27
18897,,2020-09-06 09:38:41
18898,,2020-09-06 09:38:42
18899,,2020-09-06 09:38:42
18900,,2020-09-06 09:38:42
18901,,2020-09-06 09:38:50
18902,2020-09-06 09:39:10,
18903,2020-09-06 09:39:41,
18904,2020-09-06 09:39:41,
18905,2020-09-06 09:39:42,
18906,2020-09-06 09:39:42,
18907,2020-09-06 09:39:58,
18908,,2020-09-06 09:40:10
18909,,2020-09-06 09:40:11
18910,2020-09-06 09:40:31,
18911,2020-09-06 09:41:39,
18912,,2020-09-06 09:41:41
18913,,2020-09-06 09:41:41
18914,2020-09-06 09:41:53,
18915,2020-09-06 09:41:53,
18916,2020-09-06 09:41:54,
18917,2020-09-06 09:42:35,
18918,2020-09-06 09:42:41,
18919,2020-09-06 09:42:49,
18920,2020-09-06 09:42:50,
18921,2020-09-06 09:42:55,
18922,,2020-09-06 09:42:55
18923,2020-09-06 09:43:02,
18924,2020-09-06 09:43:07,
18925,2020-09-06 09:43:12,
18926,2020-09-06 09:43:23,
18927,2020-09-06 09:43:47,
18928,2020-09-06 09:43:47,
18929,,2020-09-06 09:44:00
18930,,2020-09-06 09:44:18
18931,,2020-09-06 09:44:19
18932,2020-09-06 09:44:32,
18933,2020-09-06 09:44:32,
18934,2020-09-06 09:44:33,
18935,2020-09-06 09:44:33,
18936,2020-09-06 09:44:34,
20697,,2020-09-06 13:04:37
20698,,2020-09-06 13:04:38
20699,,2020-09-06 13:04:39
20700,2020-09-06 13:04:54,
20701,,2020-09-06 13:05:03
22475,2020-09-06 16:03:17,
22476,2020-09-06 16:03:25,
23881,,2020-09-06 18:02:50
23882,,2020-09-06 18:02:50
23883,,2020-09-06 18:03:06
23884,2020-09-06 18:03:08,
23885,,2020-09-06 18:03:12
23886,,2020-09-06 18:03:13
23887,2020-09-06 18:03:29,
23888,2020-09-06 18:03:30,
23889,2020-09-06 18:04:11,
23890,2020-09-06 18:04:12,
23891,,2020-09-06 18:04:18
