"id_aforo","fecha_ingreso","fecha_salida"
87068,2020-09-12 07:06:18,
87070,2020-09-12 07:06:19,
87071,2020-09-12 07:06:19,
87072,2020-09-12 07:06:20,
87073,2020-09-12 07:07:06,
87074,2020-09-12 07:07:06,
87075,2020-09-12 07:07:14,
87077,2020-09-12 07:11:55,
87078,2020-09-12 07:12:01,
87079,2020-09-12 07:12:03,
87080,2020-09-12 07:12:13,
87081,,2020-09-12 07:15:39
87082,2020-09-12 07:15:49,
87083,2020-09-12 07:15:56,
87084,2020-09-12 07:18:32,
87085,,2020-09-12 07:19:06
87086,,2020-09-12 07:19:30
87087,,2020-09-12 07:21:00
87088,2020-09-12 07:21:58,
87089,2020-09-12 07:21:58,
87091,2020-09-12 07:24:17,
87092,2020-09-12 07:24:19,
87093,,2020-09-12 07:27:44
87094,2020-09-12 07:28:27,
87095,2020-09-12 07:31:11,
87097,,2020-09-12 07:31:34
87098,2020-09-12 07:32:10,
87099,,2020-09-12 07:32:11
87100,,2020-09-12 07:32:12
87101,,2020-09-12 07:32:41
87102,2020-09-12 07:32:59,
87103,2020-09-12 07:33:12,
87104,2020-09-12 07:34:09,
87106,2020-09-12 07:35:14,
87107,2020-09-12 07:35:16,
87108,2020-09-12 07:35:17,
87109,2020-09-12 07:35:49,
96289,,2020-09-12 18:11:18
96290,2020-09-12 18:11:18,
96291,2020-09-12 18:11:24,
96292,2020-09-12 18:11:32,
96293,2020-09-12 18:11:38,
96295,2020-09-12 18:11:49,
96296,2020-09-12 18:11:51,
96297,2020-09-12 18:11:51,
96298,2020-09-12 18:11:52,
96299,2020-09-12 18:11:52,
96300,,2020-09-12 18:11:55
96301,,2020-09-12 18:11:55
96302,,2020-09-12 18:12:13
96303,,2020-09-12 18:12:13
96305,,2020-09-12 18:12:16
96306,,2020-09-12 18:12:26
96307,,2020-09-12 18:12:35
96308,,2020-09-12 18:12:35
96309,2020-09-12 18:12:37,
96310,2020-09-12 18:12:38,
96311,2020-09-12 18:12:42,
96312,2020-09-12 18:12:42,
96314,,2020-09-12 18:12:53
96315,,2020-09-12 18:13:06
96316,,2020-09-12 18:13:07
96317,,2020-09-12 18:13:07
96318,,2020-09-12 18:13:11
96319,,2020-09-12 18:13:11
96320,,2020-09-12 18:13:12
96321,2020-09-12 18:13:20,
96322,2020-09-12 18:13:21,
96324,,2020-09-12 18:13:29
96325,,2020-09-12 18:13:30
96326,,2020-09-12 18:13:30
96327,,2020-09-12 18:13:41
96328,,2020-09-12 18:13:41
96329,,2020-09-12 18:13:42
96330,2020-09-12 18:14:07,
96331,2020-09-12 18:14:07,
96332,,2020-09-12 18:14:15
96334,,2020-09-12 18:14:16
96335,,2020-09-12 18:14:17
96336,,2020-09-12 18:14:17
96337,,2020-09-12 18:14:17
96338,,2020-09-12 18:14:17
96339,,2020-09-12 18:14:27
96340,2020-09-12 18:14:35,
96341,2020-09-12 18:14:35,
96343,2020-09-12 18:14:36,
96344,2020-09-12 18:14:44,
96345,2020-09-12 18:14:44,
96346,2020-09-12 18:14:52,
96347,2020-09-12 18:14:52,
96348,2020-09-12 18:14:53,
96349,2020-09-12 18:14:54,
96350,2020-09-12 18:14:58,
96351,2020-09-12 18:14:58,
96353,2020-09-12 18:15:00,
96354,2020-09-12 18:15:02,
96355,2020-09-12 18:15:07,
96356,2020-09-12 18:15:14,
96357,,2020-09-12 18:15:21
96358,2020-09-12 18:15:23,
96359,2020-09-12 18:15:23,
96360,2020-09-12 18:15:23,
96361,2020-09-12 18:15:29,
96363,2020-09-12 18:15:35,
96364,2020-09-12 18:15:35,
96365,2020-09-12 18:15:41,
96366,,2020-09-12 18:15:56
96367,,2020-09-12 18:15:57
96368,2020-09-12 18:16:04,
96369,2020-09-12 18:16:05,
96370,2020-09-12 18:16:08,
96371,2020-09-12 18:16:09,
96373,2020-09-12 18:16:10,
96374,2020-09-12 18:16:20,
96375,,2020-09-12 18:16:23
96376,2020-09-12 18:16:25,
96377,2020-09-12 18:16:42,
96378,2020-09-12 18:16:43,
96379,2020-09-12 18:16:56,
96380,2020-09-12 18:17:01,
96382,2020-09-12 18:17:22,
96383,2020-09-12 18:17:22,
96384,,2020-09-12 18:17:24
96385,2020-09-12 18:17:30,
96386,2020-09-12 18:17:35,
96387,2020-09-12 18:17:35,
96388,2020-09-12 18:17:35,
96389,2020-09-12 18:17:35,
96390,2020-09-12 18:17:36,
96392,,2020-09-12 18:17:49
96393,,2020-09-12 18:17:49
96394,,2020-09-12 18:17:50
96395,,2020-09-12 18:17:50
96396,,2020-09-12 18:17:50
96397,,2020-09-12 18:17:51
96398,,2020-09-12 18:17:51
96399,2020-09-12 18:17:56,
96400,2020-09-12 18:17:58,
96402,2020-09-12 18:18:00,
96403,2020-09-12 18:18:01,
96404,2020-09-12 18:18:02,
96405,2020-09-12 18:18:04,
96406,,2020-09-12 18:18:05
96407,,2020-09-12 18:18:06
96408,2020-09-12 18:18:06,
96409,2020-09-12 18:18:07,
96410,,2020-09-12 18:18:07
96412,2020-09-12 18:18:07,
96413,,2020-09-12 18:18:07
96414,,2020-09-12 18:18:08
96415,,2020-09-12 18:18:08
96416,,2020-09-12 18:18:08
96417,,2020-09-12 18:18:17
96418,,2020-09-12 18:18:18
96419,,2020-09-12 18:18:19
96420,,2020-09-12 18:18:19
96422,,2020-09-12 18:18:20
96423,,2020-09-12 18:18:21
96424,,2020-09-12 18:18:27
96425,,2020-09-12 18:18:41
96426,,2020-09-12 18:18:43
96427,,2020-09-12 18:18:46
96428,,2020-09-12 18:18:46
96429,,2020-09-12 18:18:46
96431,,2020-09-12 18:18:49
96432,,2020-09-12 18:18:51
96433,,2020-09-12 18:18:51
96434,2020-09-12 18:18:54,
96435,,2020-09-12 18:18:59
96436,,2020-09-12 18:19:00
96437,,2020-09-12 18:19:01
96438,2020-09-12 18:19:04,
96439,2020-09-12 18:19:05,
96441,2020-09-12 18:19:07,
96442,2020-09-12 18:19:14,
96443,2020-09-12 18:19:15,
96444,2020-09-12 18:19:15,
96445,,2020-09-12 18:19:20
96446,,2020-09-12 18:19:20
96447,2020-09-12 18:19:22,
96448,2020-09-12 18:19:22,
96449,2020-09-12 18:19:38,
96451,2020-09-12 18:19:44,
96452,2020-09-12 18:19:46,
96453,2020-09-12 18:19:47,
87110,2020-09-12 07:37:09,
87111,2020-09-12 07:37:09,
87112,2020-09-12 07:37:25,
87113,2020-09-12 07:38:50,
87114,2020-09-12 07:39:57,
87115,,2020-09-12 07:41:25
87116,2020-09-12 07:41:38,
87117,2020-09-12 07:42:07,
87118,2020-09-12 07:42:54,
87119,2020-09-12 07:43:35,
87120,2020-09-12 07:44:05,
87121,2020-09-12 07:44:45,
87122,2020-09-12 07:45:58,
87767,2020-09-12 09:32:51,
87769,2020-09-12 09:32:53,
87770,2020-09-12 09:32:57,
87772,,2020-09-12 09:32:58
87774,2020-09-12 09:33:01,
87775,2020-09-12 09:33:06,
87776,,2020-09-12 09:33:16
87777,2020-09-12 09:33:22,
87779,,2020-09-12 09:33:36
87780,,2020-09-12 09:33:46
88440,2020-09-12 10:26:48,
88446,2020-09-12 10:27:31,
88448,2020-09-12 10:27:31,
88450,,2020-09-12 10:27:37
88456,2020-09-12 10:27:52,
88458,2020-09-12 10:28:15,
88460,2020-09-12 10:28:19,
88465,,2020-09-12 10:28:42
88467,2020-09-12 10:28:42,
88469,2020-09-12 10:28:43,
88471,2020-09-12 10:28:43,
88475,2020-09-12 10:29:16,
88477,2020-09-12 10:29:16,
88480,2020-09-12 10:29:17,
88481,2020-09-12 10:29:17,
88485,2020-09-12 10:29:47,
88487,2020-09-12 10:29:59,
88490,,2020-09-12 10:30:37
88494,,2020-09-12 10:30:39
88496,,2020-09-12 10:30:42
88499,,2020-09-12 10:30:53
88500,,2020-09-12 10:31:15
88504,,2020-09-12 10:31:51
88506,,2020-09-12 10:31:57
88508,,2020-09-12 10:32:30
88509,,2020-09-12 10:32:31
88513,,2020-09-12 10:32:46
88515,,2020-09-12 10:32:46
88518,2020-09-12 10:33:17,
88519,2020-09-12 10:33:17,
88520,2020-09-12 10:33:18,
88521,2020-09-12 10:33:18,
88522,2020-09-12 10:33:18,
88523,2020-09-12 10:33:18,
88524,2020-09-12 10:33:18,
88525,2020-09-12 10:33:18,
88526,2020-09-12 10:33:18,
88527,2020-09-12 10:33:18,
88528,2020-09-12 10:33:19,
88529,2020-09-12 10:33:23,
88530,2020-09-12 10:33:30,
88531,2020-09-12 10:33:30,
88532,2020-09-12 10:33:31,
88533,2020-09-12 10:33:32,
88534,,2020-09-12 10:33:43
88535,,2020-09-12 10:33:43
89173,,2020-09-12 11:14:10
89174,2020-09-12 11:14:11,
89175,2020-09-12 11:14:11,
89176,2020-09-12 11:14:12,
89177,2020-09-12 11:14:12,
89178,,2020-09-12 11:14:14
89179,,2020-09-12 11:14:14
89180,,2020-09-12 11:14:15
89181,,2020-09-12 11:14:16
89183,,2020-09-12 11:14:16
89184,,2020-09-12 11:14:16
89185,,2020-09-12 11:14:16
89186,,2020-09-12 11:14:16
89187,,2020-09-12 11:14:16
89188,,2020-09-12 11:14:17
89189,,2020-09-12 11:14:17
89190,,2020-09-12 11:14:17
89191,,2020-09-12 11:14:17
89193,,2020-09-12 11:14:21
89194,,2020-09-12 11:14:22
89195,,2020-09-12 11:14:22
89196,,2020-09-12 11:14:22
89197,2020-09-12 11:14:22,
89198,,2020-09-12 11:14:23
89199,,2020-09-12 11:14:23
89200,,2020-09-12 11:14:27
89201,,2020-09-12 11:14:27
89203,,2020-09-12 11:14:43
89204,2020-09-12 11:14:57,
89205,2020-09-12 11:14:57,
89207,2020-09-12 11:14:57,
89208,2020-09-12 11:14:58,
89209,2020-09-12 11:14:58,
89210,2020-09-12 11:14:58,
89212,,2020-09-12 11:14:59
89213,,2020-09-12 11:14:59
89214,,2020-09-12 11:14:59
89215,,2020-09-12 11:14:59
89217,,2020-09-12 11:15:09
89218,,2020-09-12 11:15:10
89219,,2020-09-12 11:15:10
89220,,2020-09-12 11:15:11
89222,,2020-09-12 11:15:11
89223,2020-09-12 11:15:15,
89224,2020-09-12 11:15:19,
89225,,2020-09-12 11:15:30
89227,2020-09-12 11:15:33,
89228,2020-09-12 11:15:36,
89229,2020-09-12 11:15:36,
89230,2020-09-12 11:15:36,
89232,,2020-09-12 11:15:37
89233,,2020-09-12 11:15:38
89234,2020-09-12 11:15:38,
89235,2020-09-12 11:15:38,
89236,2020-09-12 11:15:39,
89238,2020-09-12 11:15:41,
89787,2020-09-12 11:43:18,
89788,2020-09-12 11:43:18,
89789,,2020-09-12 11:43:34
89790,2020-09-12 11:43:38,
89791,2020-09-12 11:43:39,
89792,,2020-09-12 11:43:40
89793,2020-09-12 11:43:49,
89795,2020-09-12 11:44:00,
