"id_tiempo","fecha","año","semestre","trimestre","mes","mes_nombre","semana","dia_semana","fecha_inicio_año","fecha_fin_año","fecha_inicio_semestre","fecha_fin_semestre","fecha_inicio_trimestre","fecha_fin_trimestre","fecha_inicio_mes","fecha_fin_mes","fecha_inicio_semana","fecha_fin_semana"
20200310,2020-03-10,2020,1,1,3,Marzo,11,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200311,2020-03-11,2020,1,1,3,Marzo,11,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200312,2020-03-12,2020,1,1,3,Marzo,11,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200313,2020-03-13,2020,1,1,3,Marzo,11,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200314,2020-03-14,2020,1,1,3,Marzo,11,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200315,2020-03-15,2020,1,1,3,Marzo,11,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-09,2020-03-15
20200316,2020-03-16,2020,1,1,3,Marzo,12,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
20200317,2020-03-17,2020,1,1,3,Marzo,12,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
20200318,2020-03-18,2020,1,1,3,Marzo,12,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
20200319,2020-03-19,2020,1,1,3,Marzo,12,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
20200320,2020-03-20,2020,1,1,3,Marzo,12,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
20200321,2020-03-21,2020,1,1,3,Marzo,12,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-03-01,2020-03-31,2020-03-16,2020-03-22
